accuracy,epoch,step,train_loss
1.0,16,49,1.6777914762496948
1.0,33,99,0.26784759759902954
1.0,49,149,0.0591624453663826
1.0,66,199,0.015465663745999336
1.0,83,249,0.012733823619782925
1.0,99,299,0.010969366878271103
1.0,116,349,0.007355036213994026
1.0,133,399,0.003991081379354
1.0,149,449,0.0035030352883040905
1.0,166,499,0.0035518731456249952
1.0,183,549,0.0030693658627569675
1.0,199,599,0.0024531122762709856
1.0,216,649,0.001818118616938591
1.0,233,699,0.0011126622557640076
1.0,249,749,0.0012628333643078804
